date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code,city_id,city_ascii,lat,lng,country,admin_name,population,id
2026-09-14,38.6,25.7,0.0,2,21.9,40.0,0,1504000319,Laayoune,27.15,-13.2,Morocco,Laâyoune-Sakia El Hamra,262791.0,1504000319
2026-09-15,39.4,25.2,0.0,0,24.7,46.8,0,1504000319,Laayoune,27.15,-13.2,Morocco,Laâyoune-Sakia El Hamra,262791.0,1504000319
2026-09-16,35.7,21.9,0.0,0,26.4,51.1,0,1504000319,Laayoune,27.15,-13.2,Morocco,Laâyoune-Sakia El Hamra,262791.0,1504000319
2026-09-17,28.4,21.5,0.0,0,31.4,59.8,3,1504000319,Laayoune,27.15,-13.2,Morocco,Laâyoune-Sakia El Hamra,262791.0,1504000319
2026-09-18,27.9,20.3,0.0,0,27.7,54.0,3,1504000319,Laayoune,27.15,-13.2,Morocco,Laâyoune-Sakia El Hamra,262791.0,1504000319
2026-09-19,28.8,18.3,0.0,2,24.1,47.2,1,1504000319,Laayoune,27.15,-13.2,Morocco,Laâyoune-Sakia El Hamra,262791.0,1504000319
2026-09-20,32.8,18.7,0.0,0,22.0,43.9,2,1504000319,Laayoune,27.15,-13.2,Morocco,Laâyoune-Sakia El Hamra,262791.0,1504000319
2026-09-21,35.3,20.0,0.0,4,20.7,45.7,0,1504000319,Laayoune,27.15,-13.2,Morocco,Laâyoune-Sakia El Hamra,262791.0,1504000319
2026-09-15,33.4,21.0,0.0,0,16.3,32.4,2,1504000451,Ad Darwa,33.4167,-7.5333,Morocco,Casablanca-Settat,96619.0,1504000451
2026-09-16,27.7,19.8,0.0,0,16.7,32.8,2,1504000451,Ad Darwa,33.4167,-7.5333,Morocco,Casablanca-Settat,96619.0,1504000451
2026-09-17,27.5,19.1,0.0,0,15.5,31.0,3,1504000451,Ad Darwa,33.4167,-7.5333,Morocco,Casablanca-Settat,96619.0,1504000451
2026-09-18,28.0,17.4,0.0,3,17.1,33.1,3,1504000451,Ad Darwa,33.4167,-7.5333,Morocco,Casablanca-Settat,96619.0,1504000451
2026-09-19,30.3,17.5,0.0,2,16.9,33.1,45,1504000451,Ad Darwa,33.4167,-7.5333,Morocco,Casablanca-Settat,96619.0,1504000451
2026-09-20,37.4,21.8,0.0,3,21.2,40.3,2,1504000451,Ad Darwa,33.4167,-7.5333,Morocco,Casablanca-Settat,96619.0,1504000451
2026-09-21,34.5,22.3,0.0,0,19.2,36.7,2,1504000451,Ad Darwa,33.4167,-7.5333,Morocco,Casablanca-Settat,96619.0,1504000451
2026-09-14,35.6,24.7,0.0,0,19.0,36.0,3,1504000717,Safi,32.2833,-9.2333,Morocco,Marrakech-Safi,367249.0,1504000717
2026-09-15,34.1,22.8,0.0,0,22.0,40.7,3,1504000717,Safi,32.2833,-9.2333,Morocco,Marrakech-Safi,367249.0,1504000717
2026-09-16,27.8,21.2,0.0,0,26.9,48.6,2,1504000717,Safi,32.2833,-9.2333,Morocco,Marrakech-Safi,367249.0,1504000717
2026-09-17,25.5,19.4,0.0,0,20.2,36.7,3,1504000717,Safi,32.2833,-9.2333,Morocco,Marrakech-Safi,367249.0,1504000717
2026-09-18,25.8,19.4,0.0,0,20.2,36.0,2,1504000717,Safi,32.2833,-9.2333,Morocco,Marrakech-Safi,367249.0,1504000717
2026-09-19,27.9,19.2,0.0,2,22.0,39.6,2,1504000717,Safi,32.2833,-9.2333,Morocco,Marrakech-Safi,367249.0,1504000717
2026-09-20,29.3,22.0,0.0,3,13.1,27.7,2,1504000717,Safi,32.2833,-9.2333,Morocco,Marrakech-Safi,367249.0,1504000717
2026-09-21,29.8,20.8,0.0,0,11.9,23.0,2,1504000717,Safi,32.2833,-9.2333,Morocco,Marrakech-Safi,367249.0,1504000717
2026-09-15,34.7,24.3,0.0,10,11.0,24.5,3,1504005759,Errachidia,31.9319,-4.4244,Morocco,Drâa-Tafilalet,97687.0,1504005759
2026-09-16,33.4,23.0,0.0,3,16.4,31.3,2,1504005759,Errachidia,31.9319,-4.4244,Morocco,Drâa-Tafilalet,97687.0,1504005759
2026-09-17,31.7,22.3,0.6,30,13.9,28.8,80,1504005759,Errachidia,31.9319,-4.4244,Morocco,Drâa-Tafilalet,97687.0,1504005759
2026-09-18,31.8,20.8,0.0,35,12.4,27.0,3,1504005759,Errachidia,31.9319,-4.4244,Morocco,Drâa-Tafilalet,97687.0,1504005759
2026-09-19,32.1,22.4,0.0,21,11.2,25.9,3,1504005759,Errachidia,31.9319,-4.4244,Morocco,Drâa-Tafilalet,97687.0,1504005759
2026-09-20,33.1,23.4,0.0,16,13.2,23.8,3,1504005759,Errachidia,31.9319,-4.4244,Morocco,Drâa-Tafilalet,97687.0,1504005759
2026-09-21,33.7,23.2,0.3,19,11.5,32.0,3,1504005759,Errachidia,31.9319,-4.4244,Morocco,Drâa-Tafilalet,97687.0,1504005759
2026-09-14,40.5,27.2,0.3,5,20.0,32.4,3,1504009062,Ait Ali,30.1739,-9.4881,Morocco,Souss-Massa,113236.0,1504009062
2026-09-15,36.0,25.8,0.0,0,19.5,32.8,3,1504009062,Ait Ali,30.1739,-9.4881,Morocco,Souss-Massa,113236.0,1504009062
2026-09-16,31.9,22.4,0.0,0,25.3,41.0,1,1504009062,Ait Ali,30.1739,-9.4881,Morocco,Souss-Massa,113236.0,1504009062
2026-09-17,27.2,21.0,0.0,0,26.9,44.6,3,1504009062,Ait Ali,30.1739,-9.4881,Morocco,Souss-Massa,113236.0,1504009062
2026-09-18,27.0,20.2,0.0,0,21.9,38.9,1,1504009062,Ait Ali,30.1739,-9.4881,Morocco,Souss-Massa,113236.0,1504009062
2026-09-19,27.3,20.5,0.0,0,22.3,37.4,2,1504009062,Ait Ali,30.1739,-9.4881,Morocco,Souss-Massa,113236.0,1504009062
2026-09-20,28.4,20.6,0.0,0,17.7,30.6,1,1504009062,Ait Ali,30.1739,-9.4881,Morocco,Souss-Massa,113236.0,1504009062
2026-09-21,37.0,22.2,0.0,0,17.0,29.9,0,1504009062,Ait Ali,30.1739,-9.4881,Morocco,Souss-Massa,113236.0,1504009062
2026-09-14,33.4,23.5,0.0,0,10.8,29.5,0,1504016606,Temara,33.9234,-6.9076,Morocco,Rabat-Salé-Kénitra,297098.0,1504016606
2026-09-15,28.2,21.4,0.0,0,11.9,32.0,45,1504016606,Temara,33.9234,-6.9076,Morocco,Rabat-Salé-Kénitra,297098.0,1504016606
2026-09-16,26.0,20.3,0.0,0,15.0,38.5,2,1504016606,Temara,33.9234,-6.9076,Morocco,Rabat-Salé-Kénitra,297098.0,1504016606
2026-09-17,25.9,18.6,0.0,0,12.3,32.8,3,1504016606,Temara,33.9234,-6.9076,Morocco,Rabat-Salé-Kénitra,297098.0,1504016606
2026-09-18,25.7,17.4,0.0,5,11.4,31.3,3,1504016606,Temara,33.9234,-6.9076,Morocco,Rabat-Salé-Kénitra,297098.0,1504016606
2026-09-19,28.9,16.2,0.0,3,12.4,32.4,1,1504016606,Temara,33.9234,-6.9076,Morocco,Rabat-Salé-Kénitra,297098.0,1504016606
2026-09-20,30.0,20.4,0.0,3,10.7,22.3,2,1504016606,Temara,33.9234,-6.9076,Morocco,Rabat-Salé-Kénitra,297098.0,1504016606
2026-09-21,27.0,21.3,0.0,0,12.8,27.0,3,1504016606,Temara,33.9234,-6.9076,Morocco,Rabat-Salé-Kénitra,297098.0,1504016606
2026-09-15,34.4,23.6,0.0,0,16.1,30.6,2,1504020762,Douar Ain Chkef,33.9636,-5.0281,Morocco,Fès-Meknès,91541.0,1504020762
2026-09-16,31.6,21.1,0.0,0,17.1,32.4,1,1504020762,Douar Ain Chkef,33.9636,-5.0281,Morocco,Fès-Meknès,91541.0,1504020762
2026-09-17,28.9,18.2,0.0,0,15.5,30.2,45,1504020762,Douar Ain Chkef,33.9636,-5.0281,Morocco,Fès-Meknès,91541.0,1504020762
2026-09-18,30.4,18.3,0.0,10,12.9,25.9,3,1504020762,Douar Ain Chkef,33.9636,-5.0281,Morocco,Fès-Meknès,91541.0,1504020762
2026-09-19,33.5,19.3,0.0,4,17.3,34.2,3,1504020762,Douar Ain Chkef,33.9636,-5.0281,Morocco,Fès-Meknès,91541.0,1504020762
2026-09-20,35.7,21.1,0.0,3,17.4,40.3,1,1504020762,Douar Ain Chkef,33.9636,-5.0281,Morocco,Fès-Meknès,91541.0,1504020762
2026-09-21,36.9,22.5,0.0,0,10.9,30.6,2,1504020762,Douar Ain Chkef,33.9636,-5.0281,Morocco,Fès-Meknès,91541.0,1504020762
2026-09-14,33.6,23.8,0.0,0,11.2,29.2,0,1504023252,Rabat,34.0211,-6.8414,Morocco,Rabat-Salé-Kénitra,572717.0,1504023252
2026-09-15,28.3,21.6,0.0,0,12.4,32.0,45,1504023252,Rabat,34.0211,-6.8414,Morocco,Rabat-Salé-Kénitra,572717.0,1504023252
2026-09-16,26.3,20.8,0.0,0,14.8,37.1,2,1504023252,Rabat,34.0211,-6.8414,Morocco,Rabat-Salé-Kénitra,572717.0,1504023252
2026-09-17,26.3,18.9,0.0,0,11.8,31.0,3,1504023252,Rabat,34.0211,-6.8414,Morocco,Rabat-Salé-Kénitra,572717.0,1504023252
2026-09-18,26.0,18.0,0.0,5,11.8,31.3,3,1504023252,Rabat,34.0211,-6.8414,Morocco,Rabat-Salé-Kénitra,572717.0,1504023252
2026-09-19,29.0,16.8,0.0,3,12.8,32.4,45,1504023252,Rabat,34.0211,-6.8414,Morocco,Rabat-Salé-Kénitra,572717.0,1504023252
2026-09-20,32.5,20.4,0.0,3,10.6,25.2,2,1504023252,Rabat,34.0211,-6.8414,Morocco,Rabat-Salé-Kénitra,572717.0,1504023252
2026-09-21,28.8,21.9,0.0,0,12.2,29.5,3,1504023252,Rabat,34.0211,-6.8414,Morocco,Rabat-Salé-Kénitra,572717.0,1504023252
